,strain_db,strain_api,error details,organism_type
541,5185,12082,--,2
542,5206,12083,--,2
543,5207,12084,--,2
544,5208,12085,--,2
545,5209,12086,--,2
546,5210,12087,--,2
547,5211,12088,--,2
548,5212,12089,--,2
549,5213,12090,--,2
550,5214,12091,-1,3
551,5215,12092,-1,3
552,5216,12093,--,2
553,5217,12094,-1,3
554,5218,12095,--,2
555,5219,12096,-1,3
556,5220,12097,--,2
557,5221,12098,--,2
558,5222,12099,--,2
559,5223,12100,--,2
560,5224,12101,--,2
561,5225,12102,--,2
562,5226,12103,--,2
563,5227,12104,--,2
564,5228,12105,--,2
565,5229,12106,--,2
566,5230,12107,-1,3
567,5231,12108,--,2
568,5232,12109,--,2
569,5233,12110,--,2
570,5234,12111,--,2
571,5235,12112,--,2
572,5236,12113,--,2
573,5237,12114,-1,3
574,5238,12115,--,2
575,5239,12116,--,2
576,5240,12117,--,2
577,5241,12118,--,2
578,5242,12119,-1,3
579,5243,12120,--,2
580,5244,12121,--,2
581,5245,12122,--,2
582,5246,12123,--,2
583,5247,12124,--,2
584,5248,12125,--,2
585,5249,12126,--,2
586,5250,12127,--,2
587,5251,12128,--,2
588,5252,12129,--,2
589,5253,12130,--,2
590,5254,12131,--,2
591,5255,12132,--,2
592,5256,12133,--,2
593,5257,12134,--,2
594,5258,12135,--,2
595,5259,12136,--,2
596,5260,12137,--,2
597,5261,12138,--,2
598,5262,12139,--,2
599,5263,12140,--,2
600,5264,12141,--,2
601,5265,12142,--,2
602,5266,12143,-1,3
603,5267,12144,-1,3
604,5268,12145,--,2
605,5269,12146,-1,3
606,5270,12147,--,2
607,5271,12148,--,2
608,5272,12149,--,2
609,5273,12150,--,2
610,5274,12151,--,2
611,5275,12152,--,2
612,5276,12153,-1,3
613,5277,12154,--,2
614,5278,12155,--,2
615,5279,12156,--,2
616,5280,12157,--,2
617,5281,12158,--,2
618,5282,12159,--,2
619,5283,12160,--,2
620,5284,12161,--,2
621,5285,12162,--,2
622,5286,12163,--,2
623,5287,12164,--,2
624,5288,12165,--,2
625,5289,12166,--,2
626,5290,12167,--,2
627,5291,12168,--,2
628,5292,12169,--,2
629,5293,12170,--,2
630,5294,12171,--,2
631,5295,12172,--,2
632,5296,12173,--,2
633,5297,12174,--,2
634,5298,12175,--,2
635,5299,12176,--,2
636,5300,12177,--,2
637,5301,12178,--,2
638,5302,12179,--,2
639,5303,12180,--,2
640,5304,12181,--,2
641,5305,12182,-1,3
642,5306,12183,--,2
643,5307,12184,--,2
644,5308,12185,--,2
645,5309,12186,-1,3
646,5310,12187,--,2
647,5311,12188,--,2
648,5312,12189,--,2
649,5313,12190,-1,3
650,5314,12191,--,2
651,5315,12192,--,2
652,5316,12193,--,2
653,5317,12194,--,2
654,5318,12195,--,2
655,5319,12196,--,2
656,5320,12197,--,2
657,5321,12198,--,2
658,5322,12199,--,2
659,5323,12200,-1,3
660,5324,12201,--,2
661,5325,12202,--,2
662,5326,12203,--,2
663,5327,12204,--,2
664,5328,12205,--,2
665,5329,12206,--,2
666,5330,12207,--,2
667,5331,12208,-1,3
668,5332,12209,--,2
669,5333,12210,--,2
670,5334,12211,-1,3
671,5335,12212,--,2
672,5336,12213,--,2
673,5337,12214,--,2
674,5338,12215,-1,3
675,5339,12216,--,2
676,5340,12217,--,2
677,5341,12218,--,2
678,5342,12219,--,2
679,5343,12220,-1,3
680,5351,12221,--,2
681,5352,12222,--,2
682,5677,12223,-1,3
683,5353,12224,--,2
684,5354,12225,--,2
685,5355,12226,--,2
686,5356,12227,--,2
687,5357,12228,--,2
688,5358,12229,--,2
689,5359,12230,--,2
690,5360,12231,-1,3
691,5361,12232,--,2
692,5362,12233,-1,3
693,5363,12234,--,2
694,5364,12235,--,2
695,5365,12236,-1,3
696,5366,12237,--,2
697,5367,12238,--,2
698,5368,12239,--,2
699,5369,12240,--,2
700,5370,12241,--,2
701,5371,12242,--,2
702,5372,12243,--,2
703,5373,12244,--,2
704,5374,12245,--,2
705,5375,12246,--,2
706,5376,12247,--,2
707,5377,12248,--,2
708,5378,12249,-1,3
709,5379,12250,-1,3
710,5380,12251,-1,3
711,5381,12252,-1,3
712,5382,12253,-1,3
713,5383,12254,--,2
714,5384,12255,-1,3
715,5385,12256,--,2
716,5386,12257,--,2
717,5387,12258,--,2
718,5388,12259,--,2
719,5389,12260,-1,3
720,5390,12261,--,2
721,5391,12262,--,2
722,5392,12263,--,2
723,5393,12264,--,2
724,5394,12265,--,2
725,5395,12266,--,2
726,5396,12267,--,2
727,5397,12268,--,2
728,5398,12269,--,2
729,5399,12270,--,2
730,5400,12271,--,2
731,5401,12272,--,2
732,5402,12273,--,2
733,5403,12274,--,2
734,5404,12275,--,2
735,5405,12276,--,2
736,5406,12277,-1,3
737,5407,12278,--,2
738,5408,12279,--,2
739,5409,12280,--,2
740,5410,12281,--,2
741,5411,12282,--,2
742,5412,12283,-1,3
743,5413,12284,--,2
744,5414,12285,--,2
745,5415,12286,-1,3
746,5416,12287,--,2
747,5417,12288,--,2
748,5418,12289,--,2
749,5419,12290,--,2
750,5420,12291,--,2
751,5421,12292,--,2
752,5422,12293,--,2
753,5423,12294,--,2
754,5424,12295,--,2
755,5425,12296,--,2
756,5426,12297,--,2
757,5427,12298,--,2
758,5428,12299,--,2
759,5429,12300,--,2
760,5430,12301,--,2
761,5431,12302,--,2
762,5432,12303,-1,3
763,5433,12304,--,2
764,5434,12305,--,2
765,5435,12306,--,2
766,5436,12307,--,2
767,5437,12308,--,2
768,5438,12309,--,2
769,5439,12310,--,2
770,5440,12311,--,2
771,5441,12312,--,2
772,5442,12313,--,2
773,5443,12314,--,2
774,5444,12315,--,2
775,5445,12316,--,2
776,5446,12317,--,2
777,5447,12318,-1,3
778,5448,12319,--,2
779,5449,12320,--,2
780,5450,12321,--,2
781,5451,12322,-1,3
782,5452,12323,--,2
783,5453,12324,--,2
784,5454,12325,--,2
785,5455,12326,--,2
786,5456,12327,--,2
787,5457,12328,--,2
788,5458,12329,--,2
789,5459,12330,--,2
790,5460,12331,--,2
791,5461,12332,--,2
792,5462,12333,--,2
793,5463,12334,-1,3
794,5464,12335,--,2
795,5465,12336,--,2
796,5466,12337,--,2
797,5467,12338,--,2
798,5468,12339,--,2
799,5469,12340,--,2
800,5470,12341,--,2
801,5471,12342,--,2
802,5472,12343,--,2
803,5473,12344,--,2
804,5474,12345,--,2
805,5475,12346,--,2
806,5476,12347,--,2
807,5477,12348,--,2
808,5478,12349,--,2
809,5479,12350,--,2
810,5480,12351,--,2
811,5481,12352,--,2
812,5482,12353,-1,3
813,5483,12354,--,2
814,5484,12355,--,2
815,5485,12356,-1,3
816,5486,12357,--,2
817,5487,12358,--,2
818,5488,12359,--,2
819,5489,12360,--,2
820,5490,12361,--,2
821,5491,12362,--,2
822,5492,12363,--,2
823,5493,12364,-1,3
824,5494,12365,--,2
825,5495,12366,-1,3
826,5496,12367,--,2
827,5497,12368,--,2
828,5498,12369,-1,3
829,5499,12370,--,2
830,5500,12371,--,2
831,5501,12372,--,2
832,5502,12373,--,2
833,5503,12374,-1,3
834,5504,12375,--,2
835,5505,12376,--,2
836,5506,12377,--,2
837,5507,12378,--,2
838,5508,12379,--,2
839,5509,12380,--,2
840,5510,12381,--,2
841,5511,12382,--,2
842,5512,12383,--,2
843,5513,12384,-1,3
844,5514,12385,--,2
845,5515,12386,--,2
846,5516,12387,--,2
847,5517,12388,--,2
848,5518,12389,--,2
849,5519,12390,--,2
850,5520,12391,--,2
851,5521,12392,--,2
852,5522,12393,--,2
853,5523,12394,--,2
854,5524,12395,--,2
855,5525,12396,--,2
856,5526,12397,--,2
857,5527,12398,--,2
858,5528,12399,--,2
859,5529,12400,--,2
860,5530,12401,--,2
861,5531,12402,--,2
862,5532,12403,--,2
863,5533,12404,--,2
864,5534,12405,-1,3
865,5535,12406,-1,3
866,5536,12407,--,2
867,5537,12408,--,2
868,5538,12409,-1,3
869,5539,12410,--,2
870,5540,12411,--,2
871,5541,12412,--,2
872,5542,12413,--,2
873,5543,12414,--,2
874,5544,12415,--,2
875,5545,12416,--,2
876,5546,12417,-1,3
877,5547,12418,--,2
878,5548,12419,--,2
879,5549,12420,-1,3
880,5550,12421,--,2
881,5551,12422,--,2
882,5552,12423,-1,3
883,5553,12424,--,2
884,5554,12425,--,2
885,5555,12426,--,2
886,5556,12427,--,2
887,5557,12428,--,2
888,5558,12429,--,2
889,5559,12430,--,2
890,5560,12431,--,2
891,5561,12432,--,2
892,5562,12433,--,2
893,5563,12434,--,2
894,5564,12435,-1,3
895,5565,12436,--,2
896,5566,12437,--,2
897,5567,12438,--,2
898,5568,12439,--,2
899,5569,12440,--,2
900,5570,12441,--,2
901,5571,12442,--,2
902,5572,12443,--,2
903,5573,12444,-1,3
904,5574,12445,--,2
905,5575,12446,--,2
906,5576,12447,--,2
907,5577,12448,--,2
908,5578,12449,--,2
909,5579,12450,--,2
910,5580,12451,--,2
911,5581,12452,-1,3
912,5582,12453,--,2
913,5583,12454,--,2
914,5584,12455,--,2
915,5585,12456,--,2
916,5586,12457,-1,3
917,5587,12458,--,2
918,5588,12459,--,2
919,5589,12460,--,2
920,5590,12461,--,2
921,5591,12462,-1,3
922,5592,12463,--,2
923,5593,12464,--,2
924,5594,12465,-1,3
925,5595,12466,--,2
926,5596,12467,--,2
927,5597,12468,--,2
928,5598,12469,--,2
929,5599,12470,--,2
930,5600,12471,--,2
931,5601,12472,--,2
932,5602,12473,--,2
933,5603,12474,--,2
934,5604,12475,--,2
935,5605,12476,--,2
936,5606,12477,--,2
937,5607,12478,--,2
938,5608,12479,-1,3
939,5609,12480,-1,3
940,5610,12481,--,2
941,5611,12482,--,2
942,5612,12483,--,2
943,5613,12484,--,2
944,5614,12485,--,2
945,5615,12486,--,2
946,5616,12487,--,2
947,5617,12488,-1,3
948,5618,12489,--,2
949,5619,12490,--,2
950,5620,12491,--,2
951,5621,12492,--,2
952,5622,12493,-1,3
953,5623,12494,--,2
954,5624,12495,--,2
955,5625,12496,--,2
956,5626,12497,--,2
957,5627,12498,--,2
958,5628,12499,--,2
959,5629,12500,--,2
960,5630,12501,-1,3
961,5631,12502,--,2
962,5632,12503,--,2
963,5633,12504,--,2
964,5634,12505,-1,3
965,5635,12506,--,2
966,5636,12507,--,2
967,5637,12508,--,2
968,5638,12509,--,2
969,5639,12510,--,2
970,5640,12511,--,2
971,5641,12512,--,2
972,5642,12513,--,2
973,5643,12514,-1,3
974,5644,12515,--,2
975,5645,12516,--,2
976,5646,12517,--,2
977,5647,12518,--,2
978,5648,12519,-1,3
979,5649,12520,-1,3
980,5650,12521,-1,3
981,5651,12522,--,2
982,5652,12523,--,2
983,5653,12524,--,2
984,5654,12525,--,2
985,5655,12526,--,2
986,5656,12527,-1,3
987,5657,12528,--,2
988,5658,12529,--,2
989,5659,12530,--,2
990,5660,12531,--,2
991,5661,12532,--,2
992,5662,12533,--,2
993,5663,12534,--,2
994,5664,12535,--,2
995,5665,12536,--,2
996,5666,12537,--,2
997,5667,12538,--,2
998,5668,12539,--,2
999,5669,12540,--,2
1000,5670,12541,--,2
1001,5671,12542,--,2
1002,5672,12543,--,2
1003,5673,12544,--,2
1004,5674,12545,--,2
1005,5675,12546,--,2
1006,5676,12547,--,2
1007,5678,12548,-1,3
1008,5679,12549,--,2
1009,5680,12550,--,2
1010,5681,12551,--,2
1011,5682,12552,--,2
1012,5683,12553,--,2
1013,5684,12554,--,2
1014,5685,12555,--,2
1015,5686,12556,--,2
1016,5687,12557,--,2
1017,5688,12558,--,2
1018,5689,12559,--,2
1019,5690,12560,-1,3
1020,5691,12561,--,2
1021,5692,12562,--,2
1022,5693,12563,--,2
1023,5694,12564,-1,3
1024,5695,12565,--,2
1025,5696,12566,--,2
1026,5697,12567,--,2
1027,5698,12568,--,2
1028,5699,12569,--,2
1029,5700,12570,--,2
1030,5701,12571,--,2
1031,5702,12572,--,2
1032,5703,12573,--,2
1033,5704,12574,--,2
1034,5705,12575,--,2
1035,5706,12576,-1,3
1036,5707,12577,--,2
1037,5708,12578,--,2
1038,5709,12579,--,2
1039,5710,12580,--,2
1040,5711,12581,--,2
1041,5712,12582,--,2
1042,5713,12583,-1,3
1043,5714,12584,--,2
1044,5715,12585,--,2
1045,5716,12586,--,2
1046,5717,12587,--,2
1047,5718,12588,-1,3
1048,5719,12589,--,2
1049,5720,12590,-1,3
1050,5721,12591,--,2
1051,5722,12592,--,2
1052,5723,12593,--,2
1053,5724,12594,--,2
1054,5725,12595,--,2
1055,5726,12596,--,2
1056,5727,12597,--,2
1057,5728,12598,--,2
1058,5729,12599,--,2
1059,5730,12600,--,2
1060,5731,12601,--,2
1061,5732,12602,--,2
1062,5733,12603,--,2
1063,5734,12604,--,2
1064,5735,12605,--,2
1065,5736,12606,--,2
1066,5737,12607,--,2
1067,5738,12608,--,2
1068,5739,12609,--,2
1069,5740,12610,--,2
1070,5741,12611,--,2
1071,5742,12612,--,2
1072,5743,12613,--,2
1073,5744,12614,--,2
1074,5745,12615,--,2
1075,5746,12616,-1,3
1076,5747,12617,--,2
1077,5748,12618,-1,3
1078,5749,12619,--,2
1079,5750,12620,-1,3
1080,5751,12621,--,2
1081,5752,12622,--,2
1082,5753,12623,--,2
1083,5754,12624,--,2
1084,5755,12625,--,2
1085,5756,12626,--,2
1086,5757,12627,--,2
1087,5758,12628,--,2
1088,5759,12629,--,2
1089,5760,12630,--,2
1090,5761,12631,--,2
1091,5762,12632,-1,3
1092,5763,12633,--,2
1093,5764,12634,--,2
1094,5765,12635,--,2
1095,5766,12636,--,2
1096,5767,12637,--,2
1097,5768,12638,--,2
1098,5769,12639,--,2
1099,5770,12640,--,2
1100,5771,12641,--,2
1101,5772,12642,--,2
1102,5773,12643,--,2
1103,5774,12644,--,2
1104,5775,12645,--,2
1105,5776,12646,--,2
1106,5777,12647,--,2
1107,5778,12648,--,2
1108,5779,12649,--,2
1109,5780,12650,--,2
1110,5781,12651,--,2
1111,5782,12652,--,2
1112,5783,12653,--,2
1113,5784,12654,--,2
1114,5785,12655,--,2
1115,5786,12656,--,2
1116,5787,12657,--,2
1117,5788,12658,-1,3
1118,5789,12659,-1,3
1119,5790,12660,--,2
1120,5791,12661,--,2
1121,5792,12662,--,2
1122,5793,12663,--,2
1123,5794,12664,--,2
1124,5795,12665,--,2
1125,5796,12666,--,2
1126,5797,12667,--,2
1127,5798,12668,--,2
1128,5799,12669,-1,3
1129,5800,12670,-1,3
1130,5801,12671,-1,3
1131,5802,12672,--,2
1132,5803,12673,--,2
1133,5804,12674,--,2
1134,5805,12675,--,2
1135,5806,12676,--,2
1136,5807,12677,--,2
