id_value,designation,specie_id,organism_id,strain_id
16755,CN1,583,1768,16755
16756,MRSA252,583,1769,16756
16757,B10,583,1770,16757
16758,MSHR1132,583,1771,16758
16759,04-02981,583,1772,16759
16760,COL,583,1773,16760
16761,TCH1516,583,1774,16761
16762,NRS100,583,1775,16762
16763,08BA02176,583,1776,16763
16764,N315,583,1777,16764
16765,HERMSA15,583,1778,16765
16766,Sa72Yok,583,1779,16766
16767,Sa51Yok,583,1780,16767
16768,XN108,583,1781,16768
16769,JKD6008,583,1782,16769
16770,JH1,583,1783,16770
16771,10388_GREG,583,1784,16771
16772,M013,583,1785,16772
16773,CHUV16035,583,1786,16773
16774,ED98,583,1787,16774
16775,B4,583,1788,16775
16776,VC40,583,1789,16776
16777,71193,583,1790,16777
16778,TCH60,583,1791,16778
16779,11819,583,1792,16779
16780,LGA251,583,1793,16780
16781,18341,583,1794,16781
16782,Bmb9393,583,1795,16782
16783,10497,583,1796,16783
16784,CHUV16125,583,1797,16784
16785,NCTC8325,583,1798,16785
16786,18412_GREG,583,1799,16786
16787,MW2,583,1800,16787
16788,552053,583,1801,16788
16789,ISMMS1,583,1802,16789
16790,USA300_GREG,583,1803,16790
16791,USA300_FPR3757,583,1804,16791
16793,512855-Staphylococcus_aureus_18412,583,1813,16793
16850,P5_GREG,583,1814,16850
16852,Newman_GREG,583,1815,16852
16792,172491-Staphylococcus_aureus_18412,583,5772,16792
16709,8325-4,583,5773,16709
16851,NA_NZ_FKMZ,583,5774,16851
16673,RN4220,583,5775,16673
16674,ATCC 29213,583,5776,16674
16684,8325-BB255,583,5777,16684
16687,PC-3,583,5778,16687
16692,8325-2,583,5779,16692
16831,132773-Staphylococcus_aureus_Jn,583,5796,16831
16796,132213-Staphylococcus_aureus_109-2,583,5797,16796
16813,132775-Staphylococcus_aureus_M2872,583,5798,16813
16794,132212-Staphylococcus_aureus_9--2,583,5799,16794
16797,132781-Staphylococcus_aureus_O103,583,5800,16797
16798,132778-Staphylococcus_aureus_O100,583,5801,16798
16799,133394-Staphylococcus_aureus_M86,583,5802,16799
16800,154003-Staphylococcus_aureus_M75,583,5803,16800
16801,154002-Staphylococcus_aureus_M534,583,5804,16801
16802,133392-Staphylococcus_aureus_M52,583,5805,16802
16803,133391-Staphylococcus_aureus_M5,583,5806,16803
16804,153993-Staphylococcus_aureus_M385,583,5807,16804
16805,133388-Staphylococcus_aureus_M37,583,5808,16805
16806,133387-Staphylococcus_aureus_M356,583,5809,16806
16807,132800-Staphylococcus_aureus_M323,583,5810,16807
16808,132798-Staphylococcus_aureus_M32,583,5811,16808
16809,132795-Staphylococcus_aureus_M319,583,5812,16809
16810,132794-Staphylococcus_aureus_M313,583,5813,16810
16811,132793-Staphylococcus_aureus_M308,583,5814,16811
16812,132792-Staphylococcus_aureus_M3,583,5815,16812
16814,153984-Staphylococcus_aureus_M283,583,5816,16814
16815,132791-Staphylococcus_aureus_M222,583,5817,16815
16817,132788-Staphylococcus_aureus_M20,583,5818,16817
16818,132787-Staphylococcus_aureus_M192,583,5819,16818
16819,132786-Staphylococcus_aureus_M186,583,5820,16819
16820,150962-Staphylococcus_aureus_M184,583,5821,16820
16821,132785-Staphylococcus_aureus_M160,583,5822,16821
16822,132784-Staphylococcus_aureus_M159,583,5823,16822
16823,132504-Staphylococcus_aureus_M126,583,5824,16823
16824,153845-Staphylococcus_aureus_M125,583,5825,16824
16825,132501-Staphylococcus_aureus_M124,583,5826,16825
16826,152464-Staphylococcus_aureus_M1172,583,5827,16826
16827,132499-Staphylococcus_aureus_M117,583,5828,16827
16816,152644-Staphylococcus_aureus_M2117,583,5829,16816
16830,143722-Staphylococcus_aureus_Laus102,583,5830,16830
16832,153991-Staphylococcus_aureus_Je,583,5831,16832
16833,132216-Staphylococcus_aureus_Jb,583,5832,16833
16834,152149-Staphylococcus_aureus_I37,583,5833,16834
16835,132490-Staphylococcus_aureus_I36,583,5834,16835
16836,132488-Staphylococcus_aureus_I29,583,5835,16836
16837,132485-Staphylococcus_aureus_I2,583,5836,16837
16838,152465-Staphylococcus_aureus_G57,583,5837,16838
16839,152451-Staphylococcus_aureus_G36,583,5838,16839
16840,143727-Staphylococcus_aureus_G34,583,5839,16840
16841,143681-Staphylococcus_aureus_G16,583,5840,16841
16842,143643-Staphylococcus_aureus_G04,583,5841,16842
16843,143634-Staphylococcus_aureus_G03,583,5842,16843
16844,132215-Staphylococcus_aureus_G01,583,5843,16844
16845,132214-Staphylococcus_aureus_Fu1,583,5844,16845
16846,154001-Staphylococcus_aureus_F95,583,5845,16846
16847,140856-Staphylococcus_aureus_F60,583,5846,16847
16848,150957-Staphylococcus_aureus_F173,583,5847,16848
16849,132211-Staphylococcus_aureus_Bk,583,5848,16849
16828,132497-Staphylococcus_aureus_Laus385,583,5849,16828
16829,132494-Staphylococcus_aureus_Laus270,583,5850,16829
16703,P8+,583,5855,16703
16683,PC-1,583,5879,16683
16697,COL(new),583,5880,16697
17148,Newman,583,5894,17148
17148,Newman,583,5895,17148
16795,152425-Staphylococcus_aureus_Bc,583,5900,16795
